To Date,Ozone,CO,SO2,NO2,PM10,PM2.5,State,City,Station,AQI,AQI Category
03-12-2021 00:00,20.51,0.78,6.65,22.75,144.96,78.66,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",161.0,Moderate
04-12-2021 00:00,19.28,0.64,9.94,21.24,156.43,79.22,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",163.0,Moderate
05-12-2021 00:00,18.76,0.69,15.07,21.31,152.09,73.89,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",145.0,Moderate
06-12-2021 00:00,16.83,0.71,22.49,26.5,132.88,68.13,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",125.0,Moderate
07-12-2021 00:00,13.34,0.48,9.43,18.7,101.51,46.89,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",101.0,Moderate
08-12-2021 00:00,13.7,0.52,10.47,19.87,86.2,47.47,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",86.0,Moderate
09-12-2021 00:00,14.31,0.59,11.29,21.7,106.12,61.05,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",104.0,Moderate
10-12-2021 00:00,12.71,0.44,7.5,19.11,92.78,49.58,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",93.0,Moderate
11-12-2021 00:00,8.8,0.49,6.3,19.81,76.69,40.27,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",77.0,Moderate
12-12-2021 00:00,6.11,0.52,8.24,17.25,95.21,56.67,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",95.0,Moderate
13-12-2021 00:00,1.7,0.59,9.73,18.06,109.0,65.67,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",117.0,Moderate
14-12-2021 00:00,3.82,0.59,11.3,25.68,115.57,65.23,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",115.0,Moderate
15-12-2021 00:00,3.7,0.81,8.55,28.09,135.37,75.13,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",149.0,Moderate
